split_row_index,Bezeichnung_canonical,Bezeichnung_all,Kältemittel_all,Drehzahl_set,T1_SH_set,T_evap_set_C,T_cond_set_C,n_rows_total,n_rows_LPG68,n_rows_LPG100,has_LPG68,pair_status,usable_for_shared_split,has_LPG100,op_id,split_role,split_note
28,T2s60_20SH,T2s60_20SH,Propan,60.0,20.0,10.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH20_Te10_Tc60,train,
29,T2s60_20SH,T2s60_20SH,Propan,60.0,20.0,20.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH20_Te20_Tc60,validation,
30,T2s60_30SH,T2s60_30SH,Propan,60.0,30.0,0.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH30_Te0_Tc60,train,
31,T2s60_30SH,T2s60_30SH,Propan,60.0,30.0,10.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH30_Te10_Tc60,validation,
32,T2s60_30SH,T2s60_30SH,Propan,60.0,30.0,20.0,60.0,2,1,1,True,both_oils_present,True,True,N60_SH30_Te20_Tc60,train,
33,T2s30_10SH,T2s30_10SH,Propan,70.0,10.0,0.0,30.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te0_Tc30,train,
34,T2s30_10SH,T2s30_10SH,Propan,70.0,10.0,5.0,30.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te5_Tc30,train,
35,T2s30_10SH,T2s30_10SH,Propan,70.0,10.0,10.0,30.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te10_Tc30,train,
36,T2s40_10SH,T2s40_10SH,Propan,70.0,10.0,0.0,40.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te0_Tc40,train,
37,T2s40_10SH,T2s40_10SH,Propan,70.0,10.0,5.0,40.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te5_Tc40,train,
38,T2s40_10SH,T2s40_10SH,Propan,70.0,10.0,10.0,40.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te10_Tc40,train,
39,T2s40_10SH,T2s40_10SH,Propan,70.0,10.0,15.0,40.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te15_Tc40,train,
40,T2s40_10SH,T2s40_10SH,Propan,70.0,10.0,20.0,40.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te20_Tc40,validation,
41,T2s40_10SH,T2s40_10SH,Propan,70.0,10.0,25.0,40.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te25_Tc40,validation,
42,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,70.0,10.0,0.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te0_Tc50,validation,
43,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,70.0,10.0,5.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te5_Tc50,train,
44,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,70.0,10.0,10.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te10_Tc50,train,
45,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,70.0,10.0,15.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te15_Tc50,validation,
46,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,70.0,10.0,20.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te20_Tc50,train,
47,T2S50_10SH,T2S50_10SH | T2s50_10SH,Propan,70.0,10.0,25.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te25_Tc50,train,
48,T2s50_20SH,T2s50_20SH,Propan,70.0,20.0,0.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH20_Te0_Tc50,train,
49,T2s50_20SH,T2s50_20SH,Propan,70.0,20.0,10.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH20_Te10_Tc50,train,
50,T2s50_30SH,T2s50_30SH,Propan,70.0,30.0,0.0,50.0,2,1,1,True,both_oils_present,True,True,N70_SH30_Te0_Tc50,validation,
51,T2s60_10SH,T2s60_10SH,Propan,70.0,10.0,0.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te0_Tc60,validation,
52,T2s60_10SH,T2s60_10SH,Propan,70.0,10.0,5.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te5_Tc60,validation,
53,T2s60_10SH,T2s60_10SH,Propan,70.0,10.0,10.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te10_Tc60,train,
54,T2s60_10SH,T2s60_10SH,Propan,70.0,10.0,15.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te15_Tc60,train,
55,T2s60_10SH,T2s60_10SH,Propan,70.0,10.0,20.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te20_Tc60,train,
56,T2s60_10SH,T2s60_10SH,Propan,70.0,10.0,25.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH10_Te25_Tc60,train,
57,T2s60_20SH,T2s60_20SH,Propan,70.0,20.0,0.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH20_Te0_Tc60,validation,
58,T2s60_20SH,T2s60_20SH,Propan,70.0,20.0,10.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH20_Te10_Tc60,train,
59,T2s60_30SH,T2s60_30SH,Propan,70.0,30.0,0.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH30_Te0_Tc60,validation,
60,T2s60_30SH,T2s60_30SH,Propan,70.0,30.0,10.0,60.0,2,1,1,True,both_oils_present,True,True,N70_SH30_Te10_Tc60,validation,
